start,end,label
6.42659375,15.539093750000003,SPEAKER_01
15.67409375,17.59784375,SPEAKER_01
17.90159375,19.082843750000002,SPEAKER_01
20.348468750000002,22.30596875,SPEAKER_00
22.62659375,27.48659375,SPEAKER_01
27.891593750000002,33.24096875,SPEAKER_01
34.74284375,36.36284375,SPEAKER_00
37.510343750000004,44.12534375,SPEAKER_00
44.47971875,54.064718750000004,SPEAKER_00
54.85784375,56.14034375000001,SPEAKER_00
57.67596875,64.20659375000001,SPEAKER_00
64.78034375,70.87221875,SPEAKER_00
71.31096875,75.93471875,SPEAKER_00
76.12034375,79.56284375,SPEAKER_00
79.91721875,80.52471875,SPEAKER_00
81.38534375,98.32784375,SPEAKER_00
100.33596875,101.06159375,SPEAKER_01
101.06159375,101.19659375,SPEAKER_00
102.09096875,110.98409375000001,SPEAKER_00
112.06409375000001,113.90346875,SPEAKER_00
114.30846875,117.10971875000001,SPEAKER_00
117.32909375000001,123.42096875000001,SPEAKER_00
124.41659375,135.72284375,SPEAKER_00
136.39784375000002,137.44409375,SPEAKER_00
138.35534375,141.22409375,SPEAKER_00
142.05096875,142.64159375,SPEAKER_00
142.94534375,146.30346875,SPEAKER_00
146.53971875000002,146.80971875,SPEAKER_01
146.80971875,153.42471875,SPEAKER_00
153.66096875000002,156.00659375,SPEAKER_00
156.31034375000002,159.80346875,SPEAKER_00
160.10721875000002,162.94221875000002,SPEAKER_00
163.29659375,165.79409375,SPEAKER_01
166.58721875,171.68346875,SPEAKER_01
171.68346875,173.64096875,SPEAKER_00
173.43846875,184.00221875000003,SPEAKER_01
184.59284375000001,188.25471875000002,SPEAKER_01
188.89596875,198.05909375000002,SPEAKER_01
199.07159375,199.62846875000002,SPEAKER_00
199.89846875,201.24846875,SPEAKER_00
202.07534375,203.37471875,SPEAKER_01
204.25221875000003,205.55159375000002,SPEAKER_00
206.42909375000002,213.12846875000002,SPEAKER_00
213.34784375,214.93409375000002,SPEAKER_00
214.03971875000002,214.66409375,SPEAKER_01
215.06909375,220.85721875000002,SPEAKER_00
221.00909375,226.76346875000002,SPEAKER_00
227.38784375,230.74596875,SPEAKER_00
231.30284375000002,231.97784375,SPEAKER_00
232.28159375,238.64346875,SPEAKER_00
239.30159375000002,239.85846875000001,SPEAKER_00
240.55034375000002,248.17784375000002,SPEAKER_00
245.88284375,246.13596875000002,SPEAKER_01
249.30846875,249.91596875000002,SPEAKER_00
251.13096875000002,258.15096875,SPEAKER_00
258.43784375,258.79221875,SPEAKER_01
258.58971875000003,261.54284375000003,SPEAKER_00
262.28534375000004,262.97721875,SPEAKER_00
263.61846875000003,264.17534375,SPEAKER_00
264.86721875,269.47409375,SPEAKER_00
269.82846875,273.69284375,SPEAKER_00
274.24971875,274.85721875,SPEAKER_00
275.70096875,282.36659375,SPEAKER_00
281.40471875000003,281.97846875,SPEAKER_01
282.61971875,282.77159375,SPEAKER_00
282.77159375,282.85596875000005,SPEAKER_01
283.19346875,283.59846875,SPEAKER_01
283.59846875,284.10471875,SPEAKER_00
284.84721875,287.09159375,SPEAKER_00
287.61471875,288.61034375,SPEAKER_00
290.23034375000003,290.31471875,SPEAKER_00
290.43284375,300.03471875,SPEAKER_00
300.60846875000004,301.03034375000004,SPEAKER_01
301.03034375000004,305.01284375,SPEAKER_00
305.55284375,308.20221875000004,SPEAKER_00
308.77596875,309.31596875,SPEAKER_00
310.26096875,310.66596875000005,SPEAKER_00
311.18909375000004,313.50096875,SPEAKER_00
314.69909375000003,316.69034375,SPEAKER_00
316.85909375,318.02346875,SPEAKER_00
318.52971875000003,318.91784375000003,SPEAKER_01
318.91784375000003,320.65596875,SPEAKER_00
321.26346875,323.13659375000003,SPEAKER_00
323.42346875000004,326.32596875,SPEAKER_00
326.86596875000004,330.73034375000003,SPEAKER_00
331.08471875000004,332.04659375,SPEAKER_00
332.31659375000004,334.98284375000003,SPEAKER_00
335.33721875000003,340.11284375,SPEAKER_00
339.38721875000005,339.80909375000005,SPEAKER_01
341.37846875,342.37409375000004,SPEAKER_00
342.67784375,343.30221875,SPEAKER_00
342.79596875000004,342.84659375,SPEAKER_01
343.85909375,344.88846875,SPEAKER_00
345.10784375000003,347.23409375,SPEAKER_00
347.31846875,354.37221875,SPEAKER_00
353.00534375,353.03909375,SPEAKER_01
355.31721875,362.38784375,SPEAKER_00
363.48471875,364.00784375,SPEAKER_00
365.20596875,365.64471875000004,SPEAKER_00
366.40409375,366.89346875,SPEAKER_00
367.14659375,372.96846875,SPEAKER_00
373.57596875,381.92909375000005,SPEAKER_00
381.27096875,381.69284375,SPEAKER_01
382.53659375,388.96596875,SPEAKER_00
389.62409375000004,390.78846875000005,SPEAKER_00
390.90659375,391.29471875,SPEAKER_00
391.29471875,391.73346875000004,SPEAKER_01
391.73346875000004,395.85096875000005,SPEAKER_00
396.40784375000004,397.90971875,SPEAKER_00
399.14159375,403.79909375000005,SPEAKER_00
405.16596875000005,407.42721875,SPEAKER_00
408.10221875,410.16096875000005,SPEAKER_00
410.95409375,411.88221875000005,SPEAKER_00
412.60784375000003,413.16471875,SPEAKER_00
414.24471875,414.71721875000003,SPEAKER_00
414.98721875,421.50096875,SPEAKER_00
